,Unnamed: 0,Id,Degree centrality,Betweenness centrality,Eigenvector centrality,Closeness centrality,Hubs score,Authority score,Page Rank,Katz Centrality,Percolation Centrality,Hormonic Centrality,Rank Prestige,Load Centrality,score
190,190,0.948634335,0.014642707,0.000391888,1.27e-30,0.009225477,0.024190628,0.007343308,0.00206879,0.000909559,0.000391888,0.010048603,0.012448133,0.000409435,0.0
191,191,0.949345242,0.049095762,0.001411374,2.0100000000000002e-29,0.009652277,0.014483316,0.017449444,0.003310065,0.001296906,0.001411374,0.0113135,0.017980636,0.001447628,0.013080526
199,199,0.999877816,0.022394647,0.000532117,3.16e-05,0.415099673,0.001555886,0.125219027,0.014378093,0.014930424,0.000532117,0.470575597,0.05670816,0.000554842,0.143874527
200,200,0.989389474,0.033591883,0.0010129,1.89e-05,0.402840001,0.016342387,0.162704068,0.006258091,0.006503025,0.0010129,0.434740634,0.045643154,0.00099489,0.0
201,201,0.959527771,0.018088004,5.85e-05,4.850000000000001e-21,0.058808285,0.005537539,0.183503441,0.003827262,0.006150483,5.85e-05,0.06320932,0.048409405,8.06e-05,0.156953892
202,202,0.968905359,0.037898504,0.000550897,9.83e-18,0.085399883,0.011550188,0.128729273,0.004499619,0.011114664,0.000550897,0.089284253,0.052558783,0.000554842,0.104636426
203,203,0.989884869,0.028423916,0.002187476,0.000331663,0.453941952,0.006329626,0.288540005,0.012412742,0.035166271,0.002187476,0.52843017,0.069156293,0.002663957,0.117715791
204,204,0.979495202,0.045650443,0.002073741,2.52e-08,0.297353879,0.018210935,0.162808037,0.012309303,0.01587724,0.002073741,0.353392154,0.088520055,0.002109612,0.078477523
205,205,0.94942505,0.040482498,0.003023913,9.99e-32,0.015556912,0.022132121,0.045400545,0.023842809,0.00194866,0.003023913,0.015699924,0.042876902,0.003108992,0.006538528
206,206,0.969619797,0.032730559,0.000946542,9.8e-16,0.109658568,0.012683156,0.045556863,0.021205101,0.016507133,0.000946542,0.114807534,0.076071923,0.000991063,0.058858476
207,207,0.978683703,0.038759828,0.001089274,8.01e-16,0.119743364,0.015640612,0.174297042,0.003413504,0.016312994,0.001089274,0.121454289,0.073305671,0.001170908,0.065398159
208,208,0.958717382,0.019810652,0.001493883,3.77e-29,0.022652419,0.007478011,0.135084506,0.002585988,0.002933618,0.001493883,0.023119464,0.04011065,0.00154903,0.026159891
209,209,0.959418804,0.021533322,0.000174033,1.54e-21,0.054960544,0.006223543,0.173307513,0.007137327,0.007922408,0.000174033,0.06058095,0.058091286,0.000176019,0.124255473
210,210,0.988981757,0.040482498,0.001523544,7.02e-06,0.355806892,0.022991606,0.146777815,0.006930448,0.027141352,0.001523544,0.433568774,0.06362379,0.001533877,0.019620208
211,211,0.948817056,0.014642707,0.001243275,1.85e-33,0.007063021,0.012461372,0.015340969,0.026842555,0.001068118,0.001243275,0.007312517,0.024896266,0.001267846,0.065398159
212,212,0.988882174,0.035314531,0.001124331,5.46e-06,0.365158602,0.001039615,0.277282933,0.027514912,0.016948694,0.001124331,0.416555868,0.112033195,0.00117601,0.366224437
213,213,0.959631592,0.015504031,2.67e-05,1.01e-20,0.061266321,0.01255522,0.031518058,0.002792867,0.004920103,2.67e-05,0.062265094,0.024896266,2.77e-05,0.026159891
215,215,0.989194141,0.024978619,0.000837614,2.52e-06,0.35062682,0.002800594,0.081495083,0.011947264,0.017846665,0.000837614,0.411001711,0.048409405,0.00085586,0.104636426
216,216,0.999073985,0.018949328,0.001218234,1.76e-06,0.369147752,0.003578537,0.036682366,0.017481279,0.010707946,0.001218234,0.428358213,0.035961272,0.001218102,0.0
218,218,0.978904361,0.028423916,0.000897712,2.98e-18,0.093709037,0.001725619,0.025956048,0.029273384,0.008459248,0.000897712,0.099647793,0.094052559,0.000903054,0.013080526
219,219,0.968998183,0.01722668,2.32e-06,1.73e-19,0.06381338,0.001669041,0.145807917,0.002327389,0.006451863,2.32e-06,0.067579975,0.052558783,2.6e-06,0.006538528
220,220,0.969727755,0.004306795,2.18e-06,1.85e-33,0.004720776,0.008579154,0.00930637,5.17e-05,0.00024159,2.18e-06,0.004380995,0.002766252,1.53e-06,0.091556895
221,221,0.989390281,0.020671976,3.38e-05,0.000184162,0.41742189,0.006209398,0.170576312,0.005947772,0.027849275,3.38e-05,0.488634349,0.066390041,3.44e-05,0.065398159
222,222,0.978903251,0.019810652,0.000237888,1.22e-15,0.100621258,0.001647824,0.152932379,0.010395672,0.010198994,0.000237888,0.102943275,0.052558783,0.000238518,0.026159891
223,223,0.978998899,0.025839943,0.000395644,4.28e-15,0.124155156,0.015090536,0.029700408,0.002948026,0.008541996,0.000395644,0.124101389,0.035961272,0.000409435,0.209271532
