,Id,Degree-Centrality,Closeness-Centrality,Betweenness-Centrality,EigenVector-centrality,Hybrid-Centrality,Harmonic-Centrality,Hub-Score,Authorities-Score,Degree-Prestige,Percolation-Centrality,Page-Rank,Load-Centrality,Katz-Centrality,MAUT
1084,5163,0.024736079,0.49641063,0.004839067,0.000523327,0.074938924,0.445512913,0.006067889,0.181873478,0.00828401,0.004839067,0.032215867,0.004691918,0.119830728,0.10973614
1090,5169,0.042403896,0.3514466,0.002911389,0.000130542,0.054259723,0.331064602,0.000579406,0.235369223,0.00118231,0.002911389,0.039777048,0.00297561,0.076846559,0.031363755
1093,5172,0.009423952,0.347911949,0.001013521,0.000186598,0.051870868,0.304319456,0.00027555,0.107707844,0.003550294,0.001013521,0.004590659,0.000968851,0.018014271,0.0
1097,5176,0.035336769,0.360675692,0.0,3.08e-05,0.055076075,0.347596307,7.170000000000001e-21,0.140178643,0.0,0.0,0.025512691,0.0,0.064619685,0.188108526
1099,5179,0.024736079,0.2605495,0.001152632,1.63e-05,0.039755454,0.25652912,0.001999173,0.221796762,0.007100589,0.001152632,0.023197049,0.001188213,0.026188168,0.0
1102,5182,0.022380361,0.316076003,0.001997233,0.000358912,0.04809895,0.281021035,0.012177574,0.112619209,0.013017755,0.001997233,0.006703175,0.002020978,0.036721794,0.10973614
1103,5183,0.027091769,0.300953601,0.006448777,3.21e-05,0.045933201,0.26342004,0.011392147,0.011142348,0.023668638,0.006448777,0.003250024,0.00663165,0.010113453,0.062712792
1112,5192,0.017668953,0.322008716,0.001500409,0.000345325,0.048681454,0.289350167,7.83e-07,0.210409115,0.002367546,0.001500409,0.025837694,0.001492883,0.033766681,0.156759503
1117,5197,0.014135389,0.362563696,0.0,0.00024396,0.054327822,0.320153278,0.002149553,0.301181422,0.00118231,0.0,0.008246937,0.0,0.028357783,0.031363755
1118,5198,0.009423952,0.151805609,0.000341815,1.11e-12,0.022863772,0.142666476,9.2e-05,0.015757276,0.00118231,0.000341815,0.065789025,0.000351386,0.015744867,0.0
1122,5204,0.050648868,0.370991091,0.018919857,1.98e-05,0.057776136,0.327132284,0.007283713,0.034175412,0.033136099,0.018919857,0.010481329,0.018869329,0.029468558,0.219457177
1126,5208,0.073028122,0.362689689,0.009012389,4.14e-05,0.057688633,0.324510978,0.006665208,0.033676501,0.04260356,0.009012389,0.013284475,0.008876052,0.0510045,0.0
1130,5212,0.018846797,0.298270938,0.006627634,1.08e-05,0.0450515,0.27418722,0.001879754,0.035048507,0.015384628,0.006627634,0.010156326,0.006895697,0.009262201,0.595644393
